GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs
1,1,google.com,com,400377,2663206,google.com,com,1,1,400547,2664033
2,2,facebook.com,com,391226,2800646,facebook.com,com,2,2,391323,2803632
3,3,youtube.com,com,357267,2274656,youtube.com,com,3,3,357058,2275790
4,4,twitter.com,com,350942,2370839,twitter.com,com,4,4,351072,2372569
5,5,microsoft.com,com,264907,899521,microsoft.com,com,5,5,265101,901338
6,1,wikipedia.org,org,256265,1211838,wikipedia.org,org,6,1,256213,1213106
7,6,adobe.com,com,255955,979368,adobe.com,com,7,6,256095,981751
8,7,plus.google.com,com,237125,1277234,plus.google.com,com,8,7,236811,1276126
9,8,linkedin.com,com,233886,1100160,linkedin.com,com,9,8,233929,1100136
10,9,apple.com,com,231463,938717,apple.com,com,10,9,231416,939835
11,2,wordpress.org,org,217914,1166613,wordpress.org,org,11,2,217694,1166143
12,10,maps.google.com,com,215356,894423,maps.google.com,com,12,10,215377,895941
13,3,en.wikipedia.org,org,213060,881227,en.wikipedia.org,org,13,3,212950,881348
14,11,blogspot.com,com,209263,908631,blogspot.com,com,14,11,209414,909092
15,12,yahoo.com,com,203852,768524,yahoo.com,com,15,12,203909,769852
16,13,wordpress.com,com,201204,868444,wordpress.com,com,16,13,201180,868758
17,14,vimeo.com,com,192616,870698,vimeo.com,com,17,14,192544,870552
18,15,itunes.apple.com,com,187333,658262,itunes.apple.com,com,18,15,187203,657712
19,1,youtu.be,be,183736,686501,youtu.be,be,19,1,183519,685996
20,16,pinterest.com,com,180302,862111,pinterest.com,com,20,16,180044,861337
21,17,instagram.com,com,175448,761291,instagram.com,com,22,18,174865,759524
22,18,godaddy.com,com,174625,695408,godaddy.com,com,21,17,175083,698039
23,19,amazon.com,com,170016,651389,amazon.com,com,23,19,169873,650765
24,20,flickr.com,com,164386,610611,flickr.com,com,24,20,164360,610806
25,1,goo.gl,gl,164082,562973,goo.gl,gl,25,1,164272,562980
26,4,w3.org,org,162248,490141,w3.org,org,26,4,162526,491289
27,21,tumblr.com,com,161903,650448,tumblr.com,com,27,21,161943,651103
28,1,bit.ly,ly,158252,543873,bit.ly,ly,28,1,158149,543848
29,22,virginmedia.com,com,144367,477051,virginmedia.com,com,29,22,146707,489824
30,1,sourceforge.net,net,142258,397707,sourceforge.net,net,30,1,142327,398494
31,1,t-online.de,de,138419,438491,t-online.de,de,31,1,139165,441382
32,5,validator.w3.org,org,131576,379683,validator.w3.org,org,32,5,131787,380940
33,23,nytimes.com,com,128504,389279,nytimes.com,com,33,23,128389,389056
34,6,mozilla.org,org,127028,361946,mozilla.org,org,34,6,127114,362204
35,7,apache.org,org,126427,308570,apache.org,org,35,7,126575,308852
36,1,bbc.co.uk,uk,125797,382273,bbc.co.uk,uk,36,1,125902,382530
37,24,weebly.com,com,120976,366799,weebly.com,com,37,24,121078,366753
38,25,tinyurl.com,com,120910,381290,tinyurl.com,com,38,25,120509,376697
39,26,cnn.com,com,119317,332150,cnn.com,com,39,26,119341,331993
40,27,github.com,com,117505,350455,github.com,com,40,27,117624,350700
41,28,googletagmanager.com,com,117329,321431,googletagmanager.com,com,41,28,116938,320030
42,29,msn.com,com,116742,312634,msn.com,com,42,29,116790,311958
43,30,baidu.com,com,116038,820145,baidu.com,com,43,30,115848,818353
44,31,reddit.com,com,115447,385154,reddit.com,com,44,31,115168,384123
45,2,php.net,net,113672,297251,php.net,net,45,2,113817,298442
46,32,myspace.com,com,113236,360307,myspace.com,com,46,32,113423,360787
47,33,soundcloud.com,com,109749,369990,soundcloud.com,com,47,33,109462,369864
48,1,t.co,co,108218,342380,t.co,co,48,1,108192,342686
49,34,macromedia.com,com,107479,272019,macromedia.com,com,49,34,107792,272799
50,1,nih.gov,gov,107379,272964,nih.gov,gov,50,1,107344,272339
51,35,imdb.com,com,106157,307476,imdb.com,com,51,35,106123,307830
52,36,wix.com,com,105277,305996,wix.com,com,52,36,105289,306511
53,37,ebay.com,com,104877,313624,ebay.com,com,53,37,105083,314071
54,38,qq.com,com,104175,700297,qq.com,com,54,38,104190,702987
55,39,wsj.com,com,103536,267336,wsj.com,com,55,39,103538,267267
56,40,issuu.com,com,103532,287849,issuu.com,com,56,40,103446,287756
57,1,europa.eu,eu,103295,278925,europa.eu,eu,57,1,103214,278423
58,41,dropbox.com,com,102823,280429,dropbox.com,com,58,41,102893,280236
59,42,addthis.com,com,102479,281336,addthis.com,com,59,42,102538,281607
60,8,gnu.org,org,101737,250714,gnu.org,org,60,8,101677,251009
61,3,slideshare.net,net,100837,259733,slideshare.net,net,61,3,100880,259771
62,43,go.com,com,100134,263641,go.com,com,62,43,100016,263240
63,9,creativecommons.org,org,99969,267279,creativecommons.org,org,63,9,99959,267244
64,44,paypal.com,com,99078,293782,paypal.com,com,64,44,99112,294071
65,45,forbes.com,com,98420,255291,forbes.com,com,66,46,98213,254368
66,46,live.com,com,98331,241913,live.com,com,65,45,98437,241246
67,47,reuters.com,com,97213,240720,reuters.com,com,67,47,97222,240584
68,48,digg.com,com,96798,288201,digg.com,com,68,48,96826,288836
69,49,about.com,com,95678,247502,about.com,com,69,49,95800,247896
70,50,amazonaws.com,com,95074,239307,amazonaws.com,com,70,50,94799,238503
71,51,huffingtonpost.com,com,94335,263240,huffingtonpost.com,com,71,51,94270,262867
72,1,free.fr,fr,94062,266763,free.fr,fr,72,1,94219,267120
73,10,archive.org,org,93385,238188,archive.org,org,73,10,93363,238272
74,11,wikimedia.org,org,92860,250246,wikimedia.org,org,74,11,92951,250328
75,52,bing.com,com,92819,237212,bing.com,com,75,52,92944,237076
76,53,verizon.com,com,91793,220160,verizon.com,com,79,54,90965,217013
